Filename,Dominant_Topic,Topic_Confidence
ETid-875,4,0.9998146
ETid-552,0,0.9454814
ETid-1373,2,0.9277363
ETid-1422,5,0.90692997
ETid-2317,5,0.9982107
ETid-847,0,0.23846216
ETid-1677,0,0.23846216
ETid-570,0,0.62649727
ETid-689,0,0.9995181
ETid-1910,0,0.23846216
ETid-1461,5,0.99929416
ETid-930,5,0.99899423
ETid-1965,1,0.97112274
ETid-752,5,0.86022586
ETid-440,5,0.9995504
ETid-485,3,0.8232857
ETid-1564,5,0.61806077
ETid-1009,7,0.99978614
ETid-1188,5,0.9730044
ETid-1190,4,0.6606568
ETid-987,0,0.9350999
ETid-2566,5,0.9993292
ETid-318,0,0.23846216
ETid-1578,6,0.9998162
ETid-278,0,0.945601
ETid-2561,0,0.23846216
ETid-820,3,0.9999142
ETid-2555,5,0.99954873
ETid-2032,0,0.23846216
ETid-1352,0,0.23846216
ETid-1543,2,0.9999175
ETid-1666,5,0.73696685
ETid-1696,0,0.23846216
ETid-1844,1,0.9836999
ETid-1250,5,0.97079533
ETid-893,7,0.38908944
ETid-60,5,0.9200614
