Filename,Dominant_Topic,Topic_Confidence
ETid-752,3,0.98666614
ETid-1190,0,0.7830974
ETid-1422,3,0.9766736
ETid-1696,0,0.16666667
ETid-1461,3,0.968736
ETid-485,3,0.9867881
ETid-2032,0,0.16666667
ETid-1666,1,0.948388
ETid-278,2,0.9403945
ETid-1578,5,0.9893219
ETid-2555,1,0.9999176
ETid-552,2,0.88930994
ETid-893,0,0.623246
ETid-570,2,0.9741303
ETid-2317,3,0.96099454
ETid-1009,0,0.99995863
ETid-440,3,0.99991566
ETid-930,3,0.9924581
ETid-1543,2,0.94610626
ETid-1677,0,0.16666667
ETid-1250,3,0.72963107
ETid-60,0,0.5696914
ETid-1188,3,0.9943989
ETid-2561,0,0.16666667
ETid-875,5,0.9999591
ETid-820,5,0.9998211
ETid-1564,1,0.78374124
ETid-689,2,0.97941184
ETid-1965,2,0.9659567
ETid-987,2,0.8095409
ETid-2566,3,0.6614877
ETid-1844,0,0.946355
ETid-1373,0,0.6396579
